,video_file,start_tone,middle_tone,end_tone,Transition_val,social_message,Topic,Split,clip_feature_path,Link
0,toyota_esperas.mp4,positive,positive,positive,No transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/toyota_esperas.pkl,https://player.vimeo.com/video/273606639
1,renault_real_life_doubles_lunch_with_the_inlaws.mp4,positive,negative,positive,Transition,No,Car,test,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/renault_real_life_doubles_lunch_with_the_inlaws.pkl,https://www.youtube.com/embed/jnQGta5e8Do
2,brawny_once_a_mother_always_a_giant.webm,positive,neutral,positive,Transition,No,Household,test,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/brawny_once_a_mother_always_a_giant.pkl,https://www.youtube.com/embed/RkB_3E7nzro
3,renault_wake_up_your_passion.mkv,neutral,neutral,positive,Transition,No,Car,test,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/renault_wake_up_your_passion.pkl,https://www.youtube.com/embed/XWKxfg3Fsrg
4,west_elm_get_house_proud.webm,positive,positive,positive,No transition,No,Household,val,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/west_elm_get_house_proud.pkl,https://www.youtube.com/embed/KvNzvzdTVz4
5,volkswagen_barbecue.mp4,positive,positive,positive,No transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/volkswagen_barbecue.pkl,https://player.vimeo.com/video/117566812
6,suzuki_dodgems.mp4,positive,positive,positive,No transition,No,Car,val,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/suzuki_dodgems.pkl,https://www.youtube.com/embed/XiBdWr7p9OQ
7,otokoc_otomotiv_23rd_april.mp4,positive,positive,positive,No transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/otokoc_otomotiv_23rd_april.pkl,https://www.youtube.com/embed/7Xb945UWMUE/l/PLn8ef9WN6E20BgcbuwI2Gabit33M_TR5y
8,renault_playful_chassis.webm,positive,positive,positive,No transition,No,Car,test,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/renault_playful_chassis.pkl,https://www.youtube.com/embed/j13CxDW6AXU
9,ford_be_a_good_neighbor.webm,negative,negative,positive,Transition,No,Car,train,/data/digbose92/ads_complete_repo/ads_features/clip_embeddings/jwt_ads_of_world/ford_be_a_good_neighbor.pkl,https://www.youtube.com/embed/l1q0ivrhPto
